Q580,Łódź,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20%C5%81%C3%B3d%C5%BA%20COA.svg,19.466666666,51.783333333
Q106274,Legnica,http://commons.wikimedia.org/wiki/Special:FilePath/Legnica%20herb.svg,16.166666666,51.216666666
Q158485,Siemianowice Śląskie,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Siemianowice%20COA.svg,18.985833333,50.275833333
Q41252,Bydgoszcz,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Bydgoszcz%20COA.svg,18.0,53.116666666
Q47554,Toruń,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Toru%C5%84%20COA.svg,18.616666666,53.016666666
Q52842,Kalisz,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Kalisz%20COA%201.svg,18.08,51.7575
Q802,Nowy Sącz,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Nowy%20S%C4%85cz%20COA.svg,20.697222222,49.623888888
Q102317,Kielce,http://commons.wikimedia.org/wiki/Special:FilePath/Herb%20miasta%20Kielce.svg,20.631944444,50.8725
Q92212,Opole,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Opole%20COA.svg,17.933333333,50.666666666
Q2734,Skierniewice,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Skierniewice%20COA.svg,20.141666666,51.952777777
Q45197,Świętochłowice,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20%C5%9Awi%C4%99toch%C5%82owice%20COA.svg,18.916666666,50.316666666
Q104725,Płock,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20P%C5%82ock%20COA.svg,19.7,52.55
Q28516,Tarnobrzeg,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Tarnobrzeg%20COA.svg,21.683333333,50.583333333
Q52845,Konin,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Konin%20COA.svg,18.266666666,52.216666666
Q145972,Zamość,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Zamo%C5%9B%C4%87%20COA.svg,23.258611111,50.720555555
Q1799,Wrocław,http://commons.wikimedia.org/wiki/Special:FilePath/Herb%20wroclaw.svg,17.033333333,51.116666666
Q208473,Przemyśl,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Przemy%C5%9Bl%20COA.svg,22.766666666,49.783333333
Q52892,Leszno,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Leszno%20COA.svg,16.566666666,51.85
Q92689,Sopot,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Sopot%20COA.svg,18.55,54.433333333
Q588,Katowice,http://commons.wikimedia.org/wiki/Special:FilePath/Katowice%20Herb.svg,19.0,50.25
Q11977,Tychy,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Tychy%20COA.svg,19.0,50.166666666
Q11977,Tychy,http://commons.wikimedia.org/wiki/Special:FilePath/Tychywappen.jpg,19.0,50.166666666
Q598,Rzeszów,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Rzesz%C3%B3w%20COA.svg,22.0,50.05
Q761,Białystok,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Bia%C5%82ystok%20formal%20COA.svg,23.166666666,53.116666666
Q319813,Siedlce,http://commons.wikimedia.org/wiki/Special:FilePath/Herb%20Siedlce.svg,22.283333333,52.183333333
Q104720,Zielona Góra,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Zielona%20G%C3%B3ra%20COA.svg,15.505,51.939722222
Q37333,Lublin,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Lublin%20COA%201.svg,22.566666666,51.233333333
Q82765,Olsztyn,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Olsztyn%20COA.svg,20.483333333,53.783333333
Q234184,Chełm,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Che%C5%82m%20COA%201.svg,23.483333333,51.133333333
Q104712,Elbląg,http://commons.wikimedia.org/wiki/Special:FilePath/Coast%20of%20arms%20elblag.png,19.4,54.166666666
Q62868,Koszalin,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Koszalin%20COA.svg,16.181666666,54.190277777
Q158006,Jaworzno,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Jaworzno%20COA%20alt.svg,19.275,50.2
Q105048,Słupsk,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20S%C5%82upsk%20COA%201.svg,17.033333333,54.466666666
Q108679,Ruda Śląska,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Ruda%20%C5%9Al%C4%85ska%20alt%20COA.svg,18.85,50.25
Q102350,Bytom,http://commons.wikimedia.org/wiki/Special:FilePath/Bytom%20herb.svg,18.923,50.347
Q385,Gdynia,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Gdynia%20COA.svg,18.533333333,54.5
Q158004,Piotrków Trybunalski,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Piotrk%C3%B3w%20Trybunalski%20COA%201.svg,19.683333333,51.4
Q1792,Gdańsk,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Gda%C5%84sk%20COA.svg,18.633333333,54.366666666
Q105060,Sosnowiec,http://commons.wikimedia.org/wiki/Special:FilePath/Sosnowiec%20Herb.svg,19.166666666,50.3
Q393,Szczecin,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Szczecin%20COA.svg,14.555277777,53.424722222
Q104731,Gorzów Wielkopolski,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Gorz%C3%B3w%20Wielkopolski%20COA%201.svg,15.25,52.733333333
Q106281,Tarnów,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Tarn%C3%B3w%20COA.svg,20.988611111,50.0125
Q103217,Częstochowa,http://commons.wikimedia.org/wiki/Special:FilePath/POL%20Cz%C4%99stochowa%20COA.svg,19.116666666,50.8
